
 LIST ALL SELECTED NODES.   DSYS=      a

   NODE        X           Y           Z         THXY    THYZ    THZX
      352   -1.1065      2.6712      24.832        0.00    0.00    0.00
      353   -1.4457      2.5039      24.832        0.00    0.00    0.00
      354   -1.7601      2.2938      24.832        0.00    0.00    0.00
      355   -2.0445      2.0445      24.832        0.00    0.00    0.00
      356   -2.2938      1.7601      24.832        0.00    0.00    0.00
      357   -2.5039      1.4457      24.832        0.00    0.00    0.00
      358   -2.6712      1.1065      24.832        0.00    0.00    0.00
      359   -2.7928     0.74833      24.832        0.00    0.00    0.00
      360   -2.8666     0.37739      24.832        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      361   -2.8913      0.0000      24.832        0.00    0.00    0.00
      362   -2.8666    -0.37739      24.832        0.00    0.00    0.00
      363   -2.7928    -0.74833      24.832        0.00    0.00    0.00
      364   -2.6712     -1.1065      24.832        0.00    0.00    0.00
      365   -2.5039     -1.4457      24.832        0.00    0.00    0.00
      366   -2.2938     -1.7601      24.832        0.00    0.00    0.00
      367   -2.0445     -2.0445      24.832        0.00    0.00    0.00
      368   -1.7601     -2.2938      24.832        0.00    0.00    0.00
      369   -1.4457     -2.5039      24.832        0.00    0.00    0.00
      370   -1.1065     -2.6712      24.832        0.00    0.00    0.00
      371  -0.74833     -2.7928      24.832        0.00    0.00    0.00
      372  -0.37739     -2.8666      24.832        0.00    0.00    0.00
      373    0.0000     -2.8913      24.832        0.00    0.00    0.00
      374   0.37739     -2.8666      24.832        0.00    0.00    0.00
      375   0.74833     -2.7928      24.832        0.00    0.00    0.00
      376    1.1065     -2.6712      24.832        0.00    0.00    0.00
      377    1.4457     -2.5039      24.832        0.00    0.00    0.00
      378    1.7601     -2.2938      24.832        0.00    0.00    0.00
      379    2.0445     -2.0445      24.832        0.00    0.00    0.00
      380    2.2938     -1.7601      24.832        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      381    2.5039     -1.4457      24.832        0.00    0.00    0.00
      382    2.6712     -1.1065      24.832        0.00    0.00    0.00
      383    2.7928    -0.74833      24.832        0.00    0.00    0.00
      384    2.8666    -0.37739      24.832        0.00    0.00    0.00
      385    19.200      0.0000      14.400        0.00    0.00    0.00
      386    19.036      2.5061      14.400        0.00    0.00    0.00
      387    18.546      4.9693      14.400        0.00    0.00    0.00
      388    17.738      7.3475      14.400        0.00    0.00    0.00
      389    16.628      9.6000      14.400        0.00    0.00    0.00
